Anio,Mes,Precio_leche
2000,Jun,106.24
2000,Jul,105.93
2000,Aug,105.09
2000,Sep,105.43
2000,Oct,110.41
2000,Nov,112.74
2000,Dec,112.74
2001,Jan,112.94
2001,Feb,114.3
2001,Mar,116.94
2001,Apr,117.98
2001,May,119.54
2001,Jun,119.56
2001,Jul,118.77
2001,Aug,117.52
2001,Sep,114.75
2001,Oct,111.8
2001,Nov,109.12
2001,Dec,105.84
2002,Jan,105.42
2002,Feb,106.78
2002,Mar,106.37
2002,Apr,105.33
2002,May,107.63
2002,Jun,108.46
2002,Jul,106.28
2002,Aug,105.27
2002,Sep,99.47
2002,Oct,94.49
2002,Nov,92.69
2002,Dec,93.15
2003,Jan,96.01
2003,Feb,99.42
2003,Mar,102.7
2003,Apr,106.51
2003,May,115.38
2003,Jun,124.87
2003,Jul,126.6
2003,Aug,126.08
2003,Sep,124.34
2003,Oct,123.16
2003,Nov,121.18
2003,Dec,119.98
2004,Jan,119.79
2004,Feb,118.68
2004,Mar,116.72
2004,Apr,116.96
2004,May,121.68
2004,Jun,126.23
2004,Jul,125.73
2004,Aug,124.47
2004,Sep,123.00
2004,Oct,121.03
2004,Nov,118.16
2004,Dec,115.99
2005,Jan,116.05
2005,Feb,117.97
2005,Mar,120.2
2005,Apr,121.68
2005,May,126.99
2005,Jun,132.08
2005,Jul,130.79
2005,Aug,130.61
2005,Sep,127.52
2005,Oct,122.47
2005,Nov,121.37
2005,Dec,121.42
2006,Jan,121.99
2006,Feb,123.39
2006,Mar,126.13
2006,Apr,127.77
2006,May,129.47
2006,Jun,129.74
2006,Jul,128.69
2006,Aug,128.03
2006,Sep,118.17
2006,Oct,115.77
2006,Nov,114.98
2006,Dec,114.59
2007,Jan,117.66
2007,Feb,122.81
2007,Mar,133.59
2007,Apr,144.64
2007,May,172.4
2007,Jun,187.53
2007,Jul,198.26
2007,Aug,201.4
2007,Sep,200.31
2007,Oct,200.78
2007,Nov,202.95
2007,Dec,199.9
2008,Jan,195.88
2008,Feb,196.44
2008,Mar,200.63
2008,Apr,205.3
2008,May,207.63
2008,Jun,207.68
2008,Jul,205.87
2008,Aug,204.99
2008,Sep,203.69
2008,Oct,191.26
2008,Nov,187.49
2008,Dec,171.7
2009,Jan,162.05
2009,Feb,159.24
2009,Mar,150.89
2009,Apr,150.91
2009,May,157.24
2009,Jun,156.93
2009,Jul,155.93
2009,Aug,153.07
2009,Sep,143.4
2009,Oct,146.07
2009,Nov,147.5
2009,Dec,152.15
2010,Jan,159.28
2010,Feb,162.01
2010,Mar,164.5
2010,Apr,166.97
2010,May,185.03
2010,Jun,184.37
2010,Jul,185.05
2010,Aug,183.07
2010,Sep,178.5
2010,Oct,169.31
2010,Nov,168.26
2010,Dec,166.8
2011,Jan,167.01
2011,Feb,170.92
2011,Mar,188.1
2011,Apr,192.92
2011,May,196.79
2011,Jun,194.75
2011,Jul,193.29
2011,Aug,192.83
2011,Sep,189.07
2011,Oct,188.26
2011,Nov,187.1
2011,Dec,184.74
